author_id,author_names,affiliations
loPoqy0AAAAJ,Xu Chen 陈 旭,"Tenure-Track Associate Professor, Renmin University of China"
tbxCHJgAAAAJ,Ji-Rong Wen,"Gaoling School of Artificial Intelligence, Renmin University of China"
Q1GGOPoAAAAJ,Quanyu Dai (戴全宇),Huawei Technologies
JeePtHEAAAAJ,Zhenhua Dong,"Noah's ark lab, Huawei Technologies Co., Ltd."
4FeNNKAAAAAJ,Chaozhuo Li,Microsoft Research Aisa
5EQfAFIAAAAJ,Xing Xie 谢幸,"Assistant Managing Director, Microsoft Research Asia, ACM Fellow, IEEE Fellow, CCF Fellow"
UlIbtTkAAAAJ,Rui Li,Renmin University of China
M9NcazMAAAAJ,Yang Zhang,National University of Singapore
JeePtHEAAAAJ,Zhenhua Dong,"Noah's ark lab, Huawei Technologies Co., Ltd."
oNKerP8AAAAJ,Jieming Zhu (朱杰明),Huawei; CUHK
loPoqy0AAAAJ,Xu Chen 陈 旭,"Tenure-Track Associate Professor, Renmin University of China"
tbxCHJgAAAAJ,Ji-Rong Wen,"Gaoling School of Artificial Intelligence, Renmin University of China"
QTRtp9cAAAAJ,Dan Wang,Hong Kong University of Science and Technology
3KbaUFkAAAAJ,Xiao-Ming Wu,"Associate Professor, The Hong Kong Polytechnic University"
5BurqVgAAAAJ,Xiao Shen (沈笑),"Associate Professor, Hainan University"
GGPvOP4AAAAJ,Qiang Li,Alibaba Group
idpbcG0AAAAJ,Han Liu,"Associate Professor, Dalian University of Technology"
wV8Y2gQAAAAJ,Xiaotong Zhang,Dalian University of Technology
1ir6WUEAAAAJ,Jian Tang (唐建）,"Associate Professor, Mila-Quebec AI Institute, HEC Montréal, Canada CIFAR AI Chair"
su14mcEAAAAJ,Jun Xu,"Professor, Gaoling School of Artificial Intelligence, Renmin University of China"
wIE1tY4AAAAJ,Jun Wang,"Professor, Computer Science, University College London"
nHlrzV0AAAAJ,Yu Lei,Peng Cheng Laboratory
MKlx5KsAAAAJ,Liang Zhang,Sun Yat-sen University
568w7h8AAAAJ,Yusuke Yamauchi,"Australian Laureate Fellow, The University of Queensland; Distinguished Professor, Nagoya University"
5HJGGogAAAAJ,Rahul R. Salunkhe,"Associate Professor, Department of Physics, Indian Institute of Technology Jammu, India"
GI6RizYAAAAJ,Victor Malgras,"CINaM, Aix-Marseille Université (AMU)"
vulBmREAAAAJ,Yanna GUO,NIMS-Waseda
429ZvLIAAAAJ,Yusuf Valentino Kaneti,ARC Research Fellow (University of Queensland); Hon. Associate Prof. (ITB)
3e8M_OIAAAAJ,Haibo Tan,National Institute for Materials Science (NIMS)
sipdk9wAAAAJ,Joel Henzie,National Institute for Materials Science (NIMS)
XjXppwwAAAAJ,Kevin C.-W. Wu,"Department of Chemical Engineering, National Taiwan University"
Xvv41qEAAAAJ,Jian Liu,"Chair Professor of Energy Materials, Inner Mongolia University, China"
-uDtv2cAAAAJ,Huabin Zhang,King Abdullah University of Science and Technology
SJp4btgAAAAJ,Wu Shichao,Tianjin University
25Izja4AAAAJ,Yunqi Li,"National Institute for Materials Science (NIMS), Waseda University"
_WsVGegAAAAJ,Jianqing Zhao,"Professor, College of Energy, Soochow University"
jGkpq0cAAAAJ,Bishnu Prasad Bastakoti,NC A&T State University
2iuLifgAAAAJ,Shuhei Furukawa,"Institute for Integrated Cell-Material Sciences, Kyoto University"
SBZpIYwAAAAJ,Sheng Dai,Oak Ridge National Laboratary/University of Tennessee
XpPbXcEAAAAJ,"Mohamed Barakat Zakaria, PhD in En...",Associate Professor of Physical Chemistry - Tanta University (Egypt)
dvlJUOkAAAAJ,Haoshen Zhou,AIST
568w7h8AAAAJ,Yusuke Yamauchi,"Australian Laureate Fellow, The University of Queensland; Distinguished Professor, Nagoya University"
LEq2zHQAAAAJ,Jung Ho Kim,"Professor, University of Wollongong"
5HJGGogAAAAJ,Rahul R. Salunkhe,"Associate Professor, Department of Physics, Indian Institute of Technology Jammu, India"
0an49FQAAAAJ,Dr. Malay Pramanik,"Hindustan Petroleum Green R&D Center, Bangalore"
XpPbXcEAAAAJ,"Mohamed Barakat Zakaria, PhD in En...",Associate Professor of Physical Chemistry - Tanta University (Egypt)
AiIoUB8AAAAJ,Ziqi Sun,"Professor, Queensland University of Technology, Australia"
_aY8Rp0AAAAJ,"Ting Liao, Associate Professor","ARC Future Fellow, Queensland University of Technology, Australia"
vBMNwqsAAAAJ,Seyed Hamed Aboutalebi,"Condensed Matter National Laboratory, Institute for Research in Fundamental Sciences (IPM)"
ozVl6OEAAAAJ,Dr. Priyanka Jood,"National Institute of Advanced Industrial Science and Technology (AIST), Japan"
0O-PDIoAAAAJ,Jongyoon Han,MIT
a49NVmkAAAAJ,Seeram Ramakrishna,National University of Singapore
AjkLq6IAAAAJ,Chorng Haur Sow,"Professor of Physics, National University of Singapore"
nnrxligAAAAJ,Benoit Ladoux,"Max Planck Zentrum Physics and Medecine, FAU Erlangen-Nürnberg University & Institut Jacques Monod"
0y8qB4gAAAAJ,Bee Luan Khoo,"Associate Professor, TR35"
secQs2YAAAAJ,Joo Chuan Yeo,National University of Singapore
ZM8C3ZwAAAAJ,Yanzhong Zhang (张彦中),"College of Biological Science & Medical Engineering, Donghua University, Shanghai, China"
vI1NQcYAAAAJ,Ming Dao,Massachusetts Institute of Technology
6eBvENEAAAAJ,Kian Ping Loh,"Professor of Chemistry, National University of Singapore"
ptPGGowAAAAJ,Sri Ram Krishna Vedula,"Evonik Skin Institute, Evonik (SEA) Pte. Ltd."
5UzuKRsAAAAJ,Darren Wan-Teck Lim,National Cancer Center Singapore; Duke-NUS Medical School National University of Singapore
yGs7LRIAAAAJ,"Majid Ebrahimi Warkiani, CINSW Fellow","Professor, University Technology Sydney (current); previous: UNSW, MIT, NTU"
PbfXhKEAAAAJ,Vincent B C Tan,National University of Singapore
ojK9vLcAAAAJ,Lee Wong Cheng (Jacky),Singapore MIT Alliance for Research and Technology
N_E6B9gAAAAJ,Nai Mui Hoon,"BME, NUS"
rvIm-gYAAAAJ,V. Shim,"Professor of Mechanical Engineering, National University of Singapore"
YP8MKakAAAAJ,Han Wei Hou,"Associate Professor, Nanyang Technological University"
M46ycHAAAAAJ,Thuan Beng Saw,"Westlake University School of Life Sciences, Hangzhou China"
JZXR6BsAAAAJ,fook chiong cheong,"Spheryx, Inc"
7qcAjNsAAAAJ,"Kenry, PhD","Assistant Professor of Pharmaceutical Sciences, University of Arizona"
OtdD85EAAAAJ,Wai Hoe Ng,Professor in Neurosurgery
i3wBJ1EAAAAJ,Kevin Tan,"National Neuroscience Institute, Singapore"
TsqRcDwAAAAJ,Xavier Golay,"Honorary Professor of MR Physics, University College London"
nmFSOaEAAAAJ,Chew Lim Tan,"Professor of Computer Science, National University of Singapore"
D2RPPBUAAAAJ,N Venketasubramanian,"Raffles Neuroscience Centre, Raffles Hospital"
K5kqK4IAAAAJ,Suyash Mohan,University of Pennsylvania
n9gpQ8YAAAAJ,Wai Yung Yu,
q_Bfxj8AAAAJ,Dennis LH Cheong,"Senior Research Fellow, Clinical Imaging Research Centre, NUS"
vVteJ3wAAAAJ,soke miang chng,
HUnDXRYAAAAJ,Lipo Wang,Nanyang Technological University
UOE6wHQAAAAJ,Jai Prashanth Rao,national neuroscience institute
jHq825kAAAAJ,Tong San Koh,
HJt0niEAAAAJ,Qi Tian,"Singapore Bioimaging Consortium (SBIC), A*STAR, Singapore"
GJXdZuwAAAAJ,Tze-Yun Leong,National University of Singapore
45lHR40AAAAJ,Tianxia Gong,"School of Computing, National University of Singapore, Singapore"
KmvmSYQAAAAJ,Jieru Ye,National Cancer Centre Singapore
HCOaMkUAAAAJ,Brenda SP Ang,"Tan Tock Seng Hospital,"
5Qzge1wAAAAJ,Terrence Thomas,"KK Women's and Children's Hospital, Singapore"
GWKHjd4AAAAJ,Adeline Ng,Senior Consultant Neurologist
4xKigwIAAAAJ,Zhuo Zhang,"Institute for Infocomm Research, A*STAR, Singapore"
8cxDHS4AAAAJ,Antonio Torralba,"Professor of Computer Science, MIT"
wkSqFSwAAAAJ,Unil Yun,Sejong University
pXhUE-sAAAAJ,Lkhagvadorj Munkhdalai,Empasoft Institute of Technology
__9GduEAAAAJ,Yongjun Piao,Nankai University
-fHyrYQAAAAJ,Tsendsuren Munkhdalai,"Research Scientist, Google DeepMind"
AqUoUCoAAAAJ,Kwang Ho Park,National Cancer Center
ggpgoEcAAAAJ,Oyun-Erdene Namsrai,Professor of National University of Mongolia
-aWuKmwAAAAJ,Cho Young Sung,"Chungbuk National University, Ph.D. of Engineering(Computer Science), engineering professor; chief"
9Ms5P8gAAAAJ,Heon Lee,Korea  University
leNSb6EAAAAJ,Chenghao Jin,"Beijing Electronics Holding Semiconductor Manufacturing Co.,Ltd."
U0fbHsoAAAAJ,Erdenebileg Batbaatar,Neouly
wkSqFSwAAAAJ,Unil Yun,Sejong University
pXhUE-sAAAAJ,Lkhagvadorj Munkhdalai,Empasoft Institute of Technology
__9GduEAAAAJ,Yongjun Piao,Nankai University
-fHyrYQAAAAJ,Tsendsuren Munkhdalai,"Research Scientist, Google DeepMind"
AqUoUCoAAAAJ,Kwang Ho Park,National Cancer Center
ggpgoEcAAAAJ,Oyun-Erdene Namsrai,Professor of National University of Mongolia
-aWuKmwAAAAJ,Cho Young Sung,"Chungbuk National University, Ph.D. of Engineering(Computer Science), engineering professor; chief"
9Ms5P8gAAAAJ,Heon Lee,Korea  University
leNSb6EAAAAJ,Chenghao Jin,"Beijing Electronics Holding Semiconductor Manufacturing Co.,Ltd."
U0fbHsoAAAAJ,Erdenebileg Batbaatar,Neouly
elJ5KrcAAAAJ,Woo Youn Kim,"Professor of Chemistry and Graduate School of Data Science, KAIST"
6ekxr3cAAAAJ,Jaechang Lim,HITS incorporation (hits.ai)
PElI4ikAAAAJ,Yongchan Kwon,Columbia University
VyVMbBMAAAAJ,Jaewook Kim,"Senior researcher, Korea Supercomputing Center, KISTI"
ZhfPDTAAAAAJ,Seung Hwan Hong,Novelism
