name,author_id,snippet,link,source
김준모 - Google 학술 검색,rOh4D5sAAAAJ,"Department of Artificial Intelligence, Korea University. korea.ac.kr의 이메일 확인됨 - 홈페이지 · AIBCIbiometrics. 학술자료인용공동 저자. 제목. 정렬. 서지정보순 ...",https://scholar.google.com/citations?user=rOh4D5sAAAAJ&hl=ko,Google Scholar
SangKeun Lee,BGSUpLgAAAAJ,"Professor of Dept. of Artificial Intelligence, Korea University - ‪‪Cited by 1616‬‬ - ‪Data Intelligence‬ - ‪Deep Learning for Natural Language Processing‬ ...",https://scholar.google.com/citations?user=BGSUpLgAAAAJ&hl=en,Google Scholar
Hojin Jang - Google 학술 검색,nVNpKUkAAAAJ,Korea University. korea.ac.kr의 이메일 확인됨 - 홈페이지 · Vision ScienceComputational Cognitive NeuroscienceDeep Learning. 학술자료인용공개 액세스. 제목. 정렬.,https://scholar.google.com/citations?user=nVNpKUkAAAAJ&hl=ko,Google Scholar
Jaeung Lee - Google 학술 검색,y011YnAAAAAJ,korea.ac.kr의 이메일 확인됨. Deep learningMedical AIComputational pathology. 학술자료인용. 제목. 정렬. 서지정보순 정렬연도순 정렬제목순 정렬. 인용. 인용. 연도 ...,https://scholar.google.com/citations?user=y011YnAAAAAJ&hl=ko,Google Scholar
Yongjang Cho - Google 학술 검색,Hb_VBNAAAAAJ,korea.ac.kr의 이메일 확인됨. 머신러닝딥러닝빅데이터. 학술자료인용. 제목. 정렬 ... A robust prediction model for species distribution using bagging ensembles with ...,https://scholar.google.com/citations?user=Hb_VBNAAAAAJ&hl=ko,Google Scholar
Heon Lee,9Ms5P8gAAAAJ,Verified email at korea.ac.kr - Homepage · nanotechnology. ArticlesCited by ... 2021. One-step printable platform for high-efficiency metasurfaces down to the ...,https://scholar.google.com/citations?user=9Ms5P8gAAAAJ&hl=en,Google Scholar
Heejeong Choi - Google 학술 검색,ESYN5z4AAAAJ,Korea University. korea.ac.kr의 이메일 확인됨. Anomaly DetectionTime-Series Analysis. 학술자료인용. 제목. 정렬. 서지정보순 정렬연도순 정렬제목순 정렬. 인용.,https://scholar.google.com/citations?user=ESYN5z4AAAAJ&hl=ko,Google Scholar
Sangheon Pack - Google 학술 검색,UCKmmOwAAAAJ,"... Korea University, Seoulkorea.ac.kr의 이메일 확인됨. Y. Kimkorea.ac.kr ... Diabetic retinopathy detection using VGG-NIN a deep learning architecture.",https://scholar.google.com/citations?user=UCKmmOwAAAAJ&hl=ko,Google Scholar
Gyeong-Moon Park - Google 학술 검색,Sz6rfOMAAAAJ,"Assistant Professor at the Department of AI, Korea University. korea.ac.kr의 이메일 확인됨 - 홈페이지 · AIDeep LearningRobotics. 학술자료인용공동 저자. 제목.",https://scholar.google.com/citations?user=Sz6rfOMAAAAJ&hl=ko,Google Scholar
Wonsuk Kim - Google 학술 검색,cDN6v8AAAAAJ,korea.ac.kr의 이메일 확인됨 - 홈페이지 · Artificial IntelligenceComputer ... A Multi-Stage Deep Learning Approach Incorporating Text-Image and Image-Image ...,https://scholar.google.com/citations?user=cDN6v8AAAAAJ&hl=ko,Google Scholar
Jaeuk Moon - Google 학술 검색,rcvn-mQAAAAJ,Sungwoo ParkKorea Universitykorea.ac.kr의 이메일 확인됨 ... ac.kr의 이메일 확인됨 - 홈페이지 · Large Language ModelsForecastingData Science.,https://scholar.google.com/citations?user=rcvn-mQAAAAJ&hl=ko,Google Scholar
Kang-Min Kim - Google 학술 검색,PQsJWfsAAAAJ,... Deep Learning - ‪Natural Language Processing‬ ... Byung-Ju ChoiKorea universitykorea.ac.kr의 이메일 확인됨.,https://scholar.google.com/citations?user=PQsJWfsAAAAJ&hl=ko,Google Scholar
Eunjin Jeon - Google 학술 검색,U_hg5B0AAAAJ,... Deep Learning. ... Jee Seok YoonKorea Universitykorea.ac.kr의 이메일 확인됨.,https://scholar.google.com/citations?user=U_hg5B0AAAAJ&hl=ko,Google Scholar
Won-Ki Jeong,bnyKqkwAAAAJ,Verified email at korea.ac.kr - Homepage · VisualizationGPGPUComputer Graphics ... Fusionnet: A deep fully residual convolutional neural network for image ...,https://scholar.google.com/citations?user=bnyKqkwAAAAJ&hl=en,Google Scholar
김준모 - Google 학술 검색,rOh4D5sAAAAJ,korea.ac.kr의 이메일 확인됨 - 홈페이지 · AIBCIbiometrics. 학술자료인용공동 저자 ... A Unified Multi-Modality Fusion Framework for Deep Spatio-Spectral-Temporal ...,https://scholar.google.com/citations?user=rOh4D5sAAAAJ&hl=ko,Google Scholar
Anh Tong,amN_LloAAAAJ,"Verified email at korea.ac.kr - Homepage · Bayesian InferenceGaussian ... SigFormer: Signature Transformers for Deep Hedging. A Tong, T Nguyen-Tang, D Lee ...",https://scholar.google.com/citations?user=amN_LloAAAAJ&hl=en,Google Scholar
Hyun Jung Lee,UtGSakYAAAAJ,Korea University - ‪‪Cited by 77‬‬ - ‪Deep Learning‬ ... Verified email at korea.ac.kr. Deep Learning. ArticlesCited byPublic access ...,https://scholar.google.com/citations?user=UtGSakYAAAAJ&hl=en,Google Scholar
