name,author_id,snippet,link,source
Dongyoung Kim - Google 학술 검색,bsp1E58AAAAJ,"KAIST - ‪‪인용 횟수 93번‬‬ - ‪LLM‬ - ‪Reinforcement Learning‬ - ‪Deep Learning‬ - ‪Machine Learning‬ ... student, KAISTkaist.ac.kr의 이메일 확인됨. Suhyeok Jang ...",https://scholar.google.com/citations?user=bsp1E58AAAAJ&hl=ko,Google Scholar
Sung Ju Hwang,RP4Qx3QAAAAJ,"Juho LeeAssociate professor, KAISTVerified email at kaist.ac.kr ... Learning to quantize deep networks by optimizing quantization intervals with task loss.",https://scholar.google.com/citations?user=RP4Qx3QAAAAJ&hl=en,Google Scholar
Wooju Lee,7Oo6f_cAAAAJ,KAIST - ‪‪Cited by 149‬‬ - ‪Deep Learning‬ - ‪Domain Generalization‬ - ‪Object Detection‬ - ‪Cross-View Geo-Localization‬,https://scholar.google.com/citations?user=7Oo6f_cAAAAJ&hl=en,Google Scholar
Joonhyung Park - Google 학술 검색,wA-WltUAAAAJ,KAIST - ‪‪인용 횟수 416번‬‬ - ‪Deep Learning‬ - ‪Machine Learning‬ - ‪Multi-modal Learing‬ - ‪Graph Neural Networks‬,https://scholar.google.com/citations?user=wA-WltUAAAAJ&hl=ko,Google Scholar
Hwanjun Song,Ijzuc-8AAAAJ,"Assistant Professor, KAIST - ‪‪Cited by 4839‬‬ - ‪LLM‬ - ‪Trustworthy AI‬ - ‪Human-AI Alignment‬ - ‪Data-centric AI‬",https://scholar.google.com/citations?user=Ijzuc-8AAAAJ&hl=en,Google Scholar
WonjeongChoi - Google 학술 검색,RXg2-oUAAAAJ,KAIST EE - ‪‪인용 횟수 54번‬‬ - ‪Post-Training‬ - ‪LLM Safety‬ - ‪Transfer Learning‬ - ‪Out-of-Distribution (OOD) Robustness‬,https://scholar.google.com/citations?user=RXg2-oUAAAAJ&hl=ko,Google Scholar
Jong Chul Ye,HNMjoNEAAAAJ,"Professor, Chung Moon Soul Chair, Graduate School of AI, KAIST ... Deep convolutional framelets: A general deep learning framework for inverse problems.",https://scholar.google.com/citations?user=HNMjoNEAAAAJ&hl=en,Google Scholar
Jaehyun Nam,-acHBrQAAAAJ,"Ph.D. student, KAIST - ‪‪Cited by 248‬‬ - ‪Machine Learning‬ - ‪Deep Learning‬ - ‪Artificial Intelligence‬ ... Verified email at kaist.ac.kr - Homepage.",https://scholar.google.com/citations?user=-acHBrQAAAAJ&hl=en,Google Scholar
Seunghoon Hong - Google 학술 검색,hvr3ALkAAAAJ,"Associate Professor, KAIST - ‪‪인용 횟수 12061번‬‬ - ‪Computer Vision‬ - ‪Machine Learning‬ - ‪Deep Learning‬ ... Student at KAISTkaist.ac.kr의 이메일 확인됨.",https://scholar.google.com/citations?user=hvr3ALkAAAAJ&hl=ko,Google Scholar
Pham Xuan Trung,4DkPIIAAAAAJ,KAIST - ‪‪Cited by 1504‬‬ - ‪Artificial Intelligence‬ - ‪Deep Learning‬ - ‪Computer Vision‬ - ‪Explainable AI‬ - ‪NLP & Audio Processing‬,https://scholar.google.com/citations?user=4DkPIIAAAAAJ&hl=en,Google Scholar
