name,author_id,snippet,link,source
‪Inyeop Lee‬ - ‪Google Scholar‬,0U2ovvQAAAAJ,Unknown affiliation - ‪‪Cited by 1891‬‬ - ‪Deep Learning‬ ... Verified email at korea.ac.kr. Deep Learning. ArticlesCited by. Title. Sort. Sort ...,https://scholar.google.com/citations?user=0U2ovvQAAAAJ&hl=en,google.com
Doeyoung Kwon - Google 학술 검색,zFNGylEAAAAJ,고려대학교 석사과정 - ‪‪인용 횟수 16번‬‬ - ‪computer vision‬ - ‪3D generation‬ - ‪2D to 3D Reconstruction‬ - ‪deep learning model‬,https://scholar.google.com/citations?user=zFNGylEAAAAJ&hl=ko,Google Scholar
Joongheon Kim,F5PJHPcAAAAJ,Korea University Professor (Electrical Engineering) | USC PhD (Computer Science) Verified email at korea.ac.kr - Homepage,https://scholar.google.com/citations?user=F5PJHPcAAAAJ&hl=en,Google Scholar
Sungwoo Park - Google 학술 검색,B1xpjO8AAAAJ,"Assistant Professor, Korea University - ‪‪인용 횟수 621번‬‬ - ‪Deep learning‬ - ‪Generative Model‬ - ‪Optimal Transport‬ - ‪Stochastic Dynamics‬",https://scholar.google.com/citations?user=B1xpjO8AAAAJ&hl=ko,Google Scholar
Changhee Lee,kSvJTg4AAAAJ,"Assistant Professor, Korea University. Verified email at korea.ac.kr - Homepage · Machine LearningDeep LearningAI in Medicine. ArticlesCited byPublic accessCo ...",https://scholar.google.com/citations?user=kSvJTg4AAAAJ&hl=en,Google Scholar
Kyuhan Lee - Google 학술 검색,4evSQKYAAAAJ,Korea University - ‪‪인용 횟수 180번‬‬ - ‪Deep Learning‬ - ‪Natural Language Processing‬ - ‪Explainable AI‬ ... korea.ac.kr의 이메일 확인됨. Deep LearningNatural ...,https://scholar.google.com/citations?user=4evSQKYAAAAJ&hl=ko,Google Scholar
Donghyun Kim - Google 학술 검색,UsqNPH4AAAAJ,"korea.ac.kr의 이메일 확인됨 - 홈페이지 · Transfer Learning. 학술자료인용공개 ... Deep 3D face identification. D Kim, M Hernandez, J Choi, G Medioni. 2017 ...",https://scholar.google.com/citations?user=UsqNPH4AAAAJ&hl=ko,Google Scholar
Hyunwoo J. Kim,LfBoJt8AAAAJ,Korea Advanced Institute of Science & Technology (KAIST) - ‪‪Cited by 5134‬‬ - ‪Deep Learning‬ - ‪Machine Learning‬ - ‪Computer Vision‬ - ‪Graph Neural‬ ...,https://scholar.google.com/citations?user=LfBoJt8AAAAJ&hl=en,Google Scholar
Wonjae Shin,s3VG1PMAAAAJ,"Associate Professor, Korea University - ‪‪Cited by 4393‬‬ - ‪Communication Theory‬ - ‪Satellite Communications‬ - ‪Signal Processing‬ - ‪Information‬ ...",https://scholar.google.com/citations?user=s3VG1PMAAAAJ&hl=en,Google Scholar
SangKeun Lee,BGSUpLgAAAAJ,"Professor of Dept. of Artificial Intelligence, Korea University - ‪‪Cited by 1616‬‬ - ‪Data Intelligence‬ - ‪Deep Learning for Natural Language Processing‬ ...",https://scholar.google.com/citations?user=BGSUpLgAAAAJ&hl=en,Google Scholar
