name,author_id,snippet,link,source
Innyoung Kim - Google 학술 검색,nL8zSVkAAAAJ,POSTECH - ‪‪인용 횟수 82번‬‬ - ‪Fluid Mechanics‬ - ‪CFD‬ - ‪Artificial Intelligence‬ - ‪Optimization‬ - ‪Control‬,https://scholar.google.com/citations?user=nL8zSVkAAAAJ&hl=ko,Google Scholar
Junsuk Rho,jdNQRH8AAAAJ,"Pohang University of Science and Technology (POSTECH) - ‪‪Cited by‬‬ ... Deep learning enabled inverse design in nanophotonics. S So, T Badloe, J Noh ...",https://scholar.google.com/citations?user=jdNQRH8AAAAJ&hl=en,Google Scholar
Junyong Lee - Google 학술 검색,sOWWNQcAAAAJ,"D Student, POSTECHpostech.ac.kr의 이메일 확인됨. Seung-Hwan ... Deep Defocus Map Estimation using Domain Adaptation. J Lee, S Lee, S Cho ...",https://scholar.google.com/citations?user=sOWWNQcAAAAJ&hl=ko,Google Scholar
junhyuk so - Google 학술 검색,uYE7vtEAAAAJ,POSTECH - ‪‪인용 횟수 272번‬‬ - ‪deep learning‬ - ‪efficient ai‬ ... postech.ac.kr의 이메일 확인됨 - 홈페이지 · deep learningefficient airepresentation ...,https://scholar.google.com/citations?user=uYE7vtEAAAAJ&hl=ko,Google Scholar
Dongwoo Kim,RkspD6IAAAAJ,POSTECH - ‪‪Cited by 1484‬‬ - ‪Machine Learning‬ - ‪Deep Learning‬,https://scholar.google.com/citations?user=RkspD6IAAAAJ&hl=en,Google Scholar
Sangbu Yun - Google 학술 검색,EdRyfS4AAAAJ,"Ph.D. Student, EE, POSTECH - ‪‪인용 횟수 38번‬‬ - ‪System-on-chip design‬ - ‪Wireless communications‬ - ‪AI-RAN‬",https://scholar.google.com/citations?user=EdRyfS4AAAAJ&hl=ko,Google Scholar
UngJin Na - Google 학술 검색,juIpkpgAAAAJ,"Mechanical Engineering PhD Student, POSTECH. postech.ac.kr의 이메일 확인됨. CFD - DEMDeep learningChemical reactor design. 학술자료인용. 제목. 정렬. 서지정보순 ...",https://scholar.google.com/citations?user=juIpkpgAAAAJ&hl=ko,Google Scholar
Minwoo Chae - Google 학술 검색,B3P2AqUAAAAJ,POSTECH - ‪‪인용 횟수 289번‬‬ - ‪Bayesian Inference‬ - ‪Deep Learning‬ - ‪Distributionally Robust Inference‬ - ‪Mathematical Statistics‬,https://scholar.google.com/citations?user=B3P2AqUAAAAJ&hl=ko,Google Scholar
Seung-Hwan Baek - Google 학술 검색,IX93v14AAAAJ,"Associate Professor, POSTECH - ‪‪인용 횟수 2286번‬‬ - ‪Computer Graphics & Vision‬ - ‪Computational Imaging‬ - ‪Computational Photography‬ - ‪Computational‬ ...",https://scholar.google.com/citations?user=IX93v14AAAAJ&hl=ko,Google Scholar
Minkyu Kim - Google 학술 검색,ByRgMVQAAAAJ,AITRICS - ‪‪인용 횟수 73번‬‬ - ‪Artificial Intelligence‬ - ‪Deep learning‬ ... Jaeho LeePOSTECHpostech.ac.kr의 이메일 확인됨. Jun ...,https://scholar.google.com/citations?user=ByRgMVQAAAAJ&hl=ko,Google Scholar
Minwoo Chae - Google 학술 검색,B3P2AqUAAAAJ,POSTECH - ‪‪인용 횟수 289번‬‬ - ‪Bayesian Inference‬ - ‪Deep Learning‬ - ‪Distributionally Robust Inference‬ - ‪Mathematical Statistics‬,https://scholar.google.com/citations?user=B3P2AqUAAAAJ&hl=ko,Google Scholar
Sangbu Yun - Google 학술 검색,EdRyfS4AAAAJ,"Ph.D. Student, EE, POSTECH - ‪‪인용 횟수 38번‬‬ - ‪System-on-chip design‬ - ‪Wireless communications‬ - ‪AI-RAN‬",https://scholar.google.com/citations?user=EdRyfS4AAAAJ&hl=ko,Google Scholar
Sunghyun Cho,JcmBvtUAAAAJ,POSTECH - ‪‪Cited by 7845‬‬ - ‪Computer Graphics‬ - ‪Computer Vision‬ - ‪Image Processing‬ - ‪Computational Photography‬,https://scholar.google.com/citations?user=JcmBvtUAAAAJ&hl=en,Google Scholar
Changhun Lee - Google 학술 검색,xkQD3YYAAAAJ,Pohang University of Science and Technology (POSTECH) - ‪‪인용 횟수 292번‬‬ - ‪NLP‬ - ‪large language model‬ - ‪deep learning‬ - ‪quantization‬ - ‪binary‬ ...,https://scholar.google.com/citations?user=xkQD3YYAAAAJ&hl=ko,Google Scholar
Sanghyun Kim - Google 학술 검색,gzA5c1YAAAAJ,Ph.D student at POSTECH - ‪‪인용 횟수 148번‬‬ - ‪Computer vision‬ - ‪Artificial Intelligence‬ - ‪Deep Learning‬,https://scholar.google.com/citations?user=gzA5c1YAAAAJ&hl=ko,Google Scholar
Kim Sung-Bin - Google 학술 검색,bWsRk0MAAAAJ,POSTECH Ph.D student - ‪‪인용 횟수 257번‬‬ - ‪Multi-modal learning‬ - ‪Computer vision‬,https://scholar.google.com/citations?user=bWsRk0MAAAAJ&hl=ko,Google Scholar
Myeongjae Jeon,q942rJgAAAAJ,"POSTECH - ‪‪Cited by 2491‬‬ - ‪Systems and Machine Learning‬ ... Tiresias: A {GPU} cluster manager for distributed deep learning. J Gu, M Chowdhury, KG ...",https://scholar.google.com/citations?user=q942rJgAAAAJ&hl=en,Google Scholar
Geonung Kim,UgL9yfwAAAAJ,"Ph.D Student, POSTECH - ‪‪Cited by 223‬‬ - ‪Computational Photography‬ - ‪Deep Learning‬",https://scholar.google.com/citations?user=UgL9yfwAAAAJ&hl=en,Google Scholar
Suha Kwak,-gscDIEAAAAJ,"Minsu ChoMu-Eun-Jae Endowed Chair Professor, Associate Professor of CSE & AI, POSTECHVerified email at postech.ac.kr.",https://scholar.google.com/citations?user=-gscDIEAAAAJ&hl=en,Google Scholar
Junyong Shin - Google 학술 검색,7hsO4McAAAAJ,POSTECH - ‪‪인용 횟수 29번‬‬ - ‪Wireless Communications‬ - ‪Machine Learning‬ - ‪Signal Processing‬ - ‪CSI Feedback‬ - ‪Semantic Communications‬,https://scholar.google.com/citations?user=7hsO4McAAAAJ&hl=ko,Google Scholar
