name,author_id,snippet,link,source
Juyong Kim - Google 학술 검색,tvFPZ9kAAAAJ,"Juyong Kim. PhD student in Machine Learning Department, Carnegie Mellon University. andrew.cmu.edu의 이메일 확인됨 - 홈페이지 · Deep Learning. 학술 ...",https://scholar.google.com/citations?user=tvFPZ9kAAAAJ&hl=ko,Google Scholar
Seungone Kim - Google 학술 검색,ZNg3w8wAAAAJ,Carnegie Mellon University - ‪‪인용 횟수 1990번‬‬ - ‪Large Language Models‬ - ‪Natural Language Processing‬,https://scholar.google.com/citations?user=ZNg3w8wAAAAJ&hl=ko,Google Scholar
Woojun Kim,bcHWCBoAAAAJ,Carnegie Mellon University - ‪‪Cited by 585‬‬ - ‪Reinforcement learning‬ - ‪Multi-agent system‬,https://scholar.google.com/citations?user=bcHWCBoAAAAJ&hl=en,Google Scholar
Yewon Kim,JkSutBwAAAAJ,Carnegie Mellon University - ‪‪Cited by 518‬‬ - ‪Music AI‬ - ‪Human-AI Interaction‬ - ‪Human-Computer Interaction‬,https://scholar.google.com/citations?user=JkSutBwAAAAJ&hl=en,Google Scholar
Hyung J. Kim,bC4aq-4AAAAJ,"Hyung J. Kim. Professor of Chemistry, Carnegie Mellon University. Verified email at cmu.edu - Homepage · Theoretical and computational chemistrymolecular ...",https://scholar.google.com/citations?user=bC4aq-4AAAAJ&hl=en,Google Scholar
Jaehong Kim,U55MerIAAAAJ,"Assistant Professor, Inha University - ‪‪Cited by 538‬‬ - ‪Video Delivery‬ - ‪Computer Systems‬ - ‪Networking‬",https://scholar.google.com/citations?user=U55MerIAAAAJ&hl=en,Google Scholar
Daehwa Kim - Google 학술 검색,m2HzqUoAAAAJ,Carnegie Mellon University - ‪‪인용 횟수 156번‬‬ - ‪Human-Computer Interaction‬ - ‪Sensing‬ - ‪Input‬ - ‪Robotics‬,https://scholar.google.com/citations?user=m2HzqUoAAAAJ&hl=ko,Google Scholar
Han Kim,nGFF8zQAAAAJ,Carnegie Mellon University - ‪‪Cited by 1443‬‬ - ‪Energy conversion materials & devices‬ - ‪Bioelectricity‬ - ‪Virus electronics‬,https://scholar.google.com/citations?user=nGFF8zQAAAAJ&hl=en,Google Scholar
Eungyeup Kim,RtxkcwYAAAAJ,Eungyeup Kim. Carnegie Mellon University. Verified email at andrew.cmu.edu - Homepage · robust machine learningdistribution shiftsfoundation models.,https://scholar.google.com/citations?user=RtxkcwYAAAAJ&hl=en,Google Scholar
Hyoungjoo Kim,sYhlQ1YAAAAJ,Carnegie Mellon University - ‪‪Cited by 57‬‬ - ‪Database‬ - ‪Computer Systems‬ - ‪Computer Architecture‬,https://scholar.google.com/citations?user=sYhlQ1YAAAAJ&hl=en,Google Scholar
Hyeonggyun Kim - Google 학술 검색,ZTPEXYUAAAAJ,Hyeonggyun Kim. Carnegie Mellon University. andrew.cmu.edu의 이메일 확인됨. 학술자료인용공개 액세스. 제목. 정렬. 서지정보순 정렬연도순 정렬제목순 ...,https://scholar.google.com/citations?user=ZTPEXYUAAAAJ&hl=ko,Google Scholar
Min Gon Kim,ZSH_jV0AAAAJ,"Biomedical Engineering, Carnegie Mellon University - ‪‪Cited by 442‬‬ - ‪Focused ultrasound‬ - ‪Single-cell analysis‬ - ‪Neuromodulation (CNS/PNS)‬ ...",https://scholar.google.com/citations?user=ZSH_jV0AAAAJ&hl=en,Google Scholar
Seungchan Kim,hcm1rYQAAAAJ,Carnegie Mellon University - ‪‪Cited by 425‬‬ - ‪Robotics‬ - ‪Active Perception‬ - ‪Embodied AI‬,https://scholar.google.com/citations?user=hcm1rYQAAAAJ&hl=en,Google Scholar
Jinju Kim - Google 학술 검색,AwYr_FMAAAAJ,Carnegie Mellon University (Visiting) - ‪‪인용 횟수 2번‬‬ - ‪Speech‬ - ‪Natural Language Processing‬ - ‪Linguistics‬ - ‪AI‬,https://scholar.google.com/citations?user=AwYr_FMAAAAJ&hl=ko,Google Scholar
Yoongu Kim,QmvOZkEAAAAJ,"Graduate Student, Carnegie Mellon University - ‪‪Cited by 7556‬‬ - ‪Computer Architecture‬",https://scholar.google.com/citations?user=QmvOZkEAAAAJ&hl=en,Google Scholar
Jeremie S. Kim,-pOH1s4AAAAJ,Jeremie S. Kim. Carnegie Mellon University. Verified email at andrew.cmu.edu. Computer ArchitectureBioinformatics. ArticlesCited byPublic accessCo-authors ...,https://scholar.google.com/citations?user=-pOH1s4AAAAJ&hl=en,Google Scholar
Tae Wan Kim,ZRawhUgAAAAJ,Carnegie Mellon University - ‪‪Cited by 1861‬‬ - ‪Artificial Intelligence Ethics‬ - ‪Machine Ethics‬ - ‪Value Alignment‬ - ‪Business Ethics‬,https://scholar.google.com/citations?user=ZRawhUgAAAAJ&hl=en,Google Scholar
Chung Hee Kim,18tZI8gAAAAJ,Carnegie Mellon University - ‪‪Cited by 173‬‬ - ‪Robotics‬ - ‪Manipulation‬ - ‪Perception‬ - ‪Deep Learning‬,https://scholar.google.com/citations?user=18tZI8gAAAAJ&hl=en,Google Scholar
Jaeyeon Kim - Google 학술 검색,2Yi8qMIAAAAJ,"Jaeyeon Kim. PhD Student, Carnegie Mellon University. andrew.cmu.edu의 이메일 확인됨 - 홈페이지 · Deep LearningSpeech Processing. 학술자료인용공동 ...",https://scholar.google.com/citations?user=2Yi8qMIAAAAJ&hl=ko,Google Scholar
Jini Kim - Google 학술 검색,Wt5tvbMAAAAJ,Jini Kim. Carnegie Mellon University. andrew.cmu.edu의 이메일 확인됨 - 홈페이지 · Human-Computer InteractionHuman-AI InteractionUX of AI. 학술자료인용 ...,https://scholar.google.com/citations?user=Wt5tvbMAAAAJ&hl=ko,Google Scholar
To Eun Kim,3ymamHAAAAAJ,Carnegie Mellon University - ‪‪Cited by 100‬‬ - ‪Natural Language Processing‬ - ‪Information Retrieval‬ - ‪Machine Learning‬,https://scholar.google.com/citations?user=3ymamHAAAAAJ&hl=en,Google Scholar
Hyeonggyun Kim - Google 학술 검색,ZTPEXYUAAAAJ,Hyeonggyun Kim. Carnegie Mellon University. andrew.cmu.edu의 이메일 확인됨. 학술자료인용공개 액세스. 제목. 정렬. 서지정보순 정렬연도순 정렬제목순 ...,https://scholar.google.com/citations?user=ZTPEXYUAAAAJ&hl=ko,Google Scholar
Jinju Kim - Google 학술 검색,AwYr_FMAAAAJ,Carnegie Mellon University (Visiting) - ‪‪인용 횟수 2번‬‬ - ‪Speech‬ - ‪Natural Language Processing‬ - ‪Linguistics‬ - ‪AI‬,https://scholar.google.com/citations?user=AwYr_FMAAAAJ&hl=ko,Google Scholar
Taejun Kim - Google 학술 검색,k8p4WdoAAAAJ,Taejun Kim. KAIST & CMU. andrew.cmu.edu의 이메일 확인됨 - 홈페이지 · Applied Machine LearningXRSensingGaze AnalysisUX. 학술자료인용공동 저자. 제목. 정렬.,https://scholar.google.com/citations?user=k8p4WdoAAAAJ&hl=ko,Google Scholar
Minkyung Kim,JUa9JVoAAAAJ,Minkyung Kim. Carnegie Mellon University - Tepper School of Business. Verified email at cmu.edu - Homepage · Quantitative MarketingEmpirical ...,https://scholar.google.com/citations?user=JUa9JVoAAAAJ&hl=en,Google Scholar
