name,author_id,snippet,link,source
Prof. Jeehwan Kim,FntBK7AAAAAJ,Prof. Jeehwan Kim. MIT. Verified email at mit.edu - Homepage · Electronic/photonic MaterialsGraphene-based layer transferNeuromorphic computing.,https://scholar.google.com/citations?user=FntBK7AAAAAJ&hl=en,Google Scholar
Yoon Kim,n_ts4eYAAAAJ,"Associate Professor, MIT - ‪‪Cited by 36470‬‬ - ‪Machine Learning‬ - ‪Natural Language Processing‬ - ‪Deep Learning‬",https://scholar.google.com/citations?user=n_ts4eYAAAAJ&hl=en,Google Scholar
Kihyun Kim - Google 학술 검색,WEQPfK8AAAAJ,Massachusetts Institute of Technology - ‪‪인용 횟수 131번‬‬ - ‪Reinforcement Learning‬ - ‪RLHF‬ - ‪Optimal Control‬ - ‪Optimization‬,https://scholar.google.com/citations?user=WEQPfK8AAAAJ&hl=ko,Google Scholar
Gwangsu Kim - Google 학술 검색,oL_sTf0AAAAJ,"Gwangsu Kim. McGovern Institute, MIT. mit.edu의 이메일 확인됨. Computational neuroscienceArtificial neural network. 학술자료인용공동 저자. 제목. 정렬.",https://scholar.google.com/citations?user=oL_sTf0AAAAJ&hl=ko,Google Scholar
Suhan Kim - Google 학술 검색,1yOBNQIAAAAJ,MIT Electrical Engineering and Computer Science - ‪‪인용 횟수 942번‬‬ - ‪Robotics‬ - ‪Soft Robotics‬ - ‪Micro Robotics‬ - ‪Biomimetics‬ - ‪Aerial Robots‬,https://scholar.google.com/citations?user=1yOBNQIAAAAJ&hl=ko,Google Scholar
Ye Ji Kim - Google 학술 검색,qZJzpPYAAAAJ,Massachusetts Institute of Technology - ‪‪인용 횟수 551번‬‬,https://scholar.google.com/citations?user=qZJzpPYAAAAJ&hl=ko,Google Scholar
Minho Kim - Google 학술 검색,NU-Km1QAAAAJ,Minho Kim. Massachusetts Institute of Technology. mit.edu의 이메일 확인됨. Condensed Matter Theory. 학술자료인용공개 액세스. 제목. 정렬. 서지정보순 정렬 ...,https://scholar.google.com/citations?user=NU-Km1QAAAAJ&hl=ko,Google Scholar
Hyunah Kim - Google 학술 검색,UWmt6mwAAAAJ,Massachusetts Institute of Technology - ‪‪인용 횟수 1948번‬‬ - ‪Electrochemistry‬ - ‪Catalysis‬ - ‪Energy Materials‬ - ‪Water Splitting‬ - ‪Rechargeable‬ ...,https://scholar.google.com/citations?user=UWmt6mwAAAAJ&hl=ko,Google Scholar
Sangbae Kim,y4E4buEAAAAJ,"Professor of Mechanical Engineering, MIT - ‪‪Cited by 20227‬‬ - ‪Robotics‬",https://scholar.google.com/citations?user=y4E4buEAAAAJ&hl=en,Google Scholar
Beomjun Kim - Google 학술 검색,3ueGSnEAAAAJ,"Beomjun Kim. 다른 이름 김 범준, Kim, Beomjun, Kim Beom Jun. MIT graduate student. mit.edu의 이메일 확인됨 - 홈페이지 · Decision making. 학술자료인용 ...",https://scholar.google.com/citations?user=3ueGSnEAAAAJ&hl=ko,Google Scholar
Minsu Kim - Google 학술 검색,JtiJ4DoAAAAJ,Minsu Kim. Massachusetts Institute of Technology. mit.edu의 이메일 확인됨. BatteryUncertaintyOptimizationElectrolyzer. 학술자료인용공개 액세스공동 ...,https://scholar.google.com/citations?user=JtiJ4DoAAAAJ&hl=ko,Google Scholar
Jin-Hoon Kim - Google 학술 검색,do3L8nYAAAAJ,Media Lab. MIT - ‪‪인용 횟수 1444번‬‬ - ‪Wearable biomedical devices‬ - ‪Nanowire electronics‬ - ‪Stretchable electronics‬ - ‪Organic Light Emitting Diode‬ ...,https://scholar.google.com/citations?user=do3L8nYAAAAJ&hl=ko,Google Scholar
Sang Gook Kim,z5fKLR0AAAAJ,MIT Mechanical Engineering Professor - ‪‪Cited by 9488‬‬ - ‪AI for Design and Manufacturing‬ - ‪Piezoelectric MEMS‬,https://scholar.google.com/citations?user=z5fKLR0AAAAJ&hl=en,Google Scholar
Ki Seok Kim - Google 학술 검색,0oaRjJcAAAAJ,Ki Seok Kim. Massachusetts Institute of Technology. mit.edu의 이메일 확인됨 - 홈페이지 · Atomic Layer EtchingPlasmaCVDSingle-Crystal 2D GrowthNano ...,https://scholar.google.com/citations?user=0oaRjJcAAAAJ&hl=ko,Google Scholar
Junghwa Kim,aKbbTQwAAAAJ,Junghwa Kim. Massachusetts Institute of Technology. Verified email at mit.edu. Atomic defectsTransmission Electron Microscopy. ArticlesCited by ...,https://scholar.google.com/citations?user=aKbbTQwAAAAJ&hl=en,Google Scholar
Jihyeon Kim - Google 학술 검색,L-C9lvEAAAAJ,Jihyeon Kim. Massachusetts Institute of Technology. mit.edu의 이메일 확인됨. Electrochemistryorganic chemistry. 학술자료인용공개 액세스. 제목. 정렬.,https://scholar.google.com/citations?user=L-C9lvEAAAAJ&hl=ko,Google Scholar
Suyong Kim,kktr1csAAAAJ,Suyong Kim. Massachusetts Institute of Technology. Verified email at mit.edu - Homepage · EnergyPropulsionInverse ModelingScientific Machine Learning ...,https://scholar.google.com/citations?user=kktr1csAAAAJ&hl=en,Google Scholar
Jeongyun Kim - Google 학술 검색,LhYg8O8AAAAJ,"Laboratory of Information and Decision Systems (LIDS), Massachusetts Institute of Technology (MIT) - ‪‪인용 횟수 156번‬‬ - ‪transportation engineering‬ ...",https://scholar.google.com/citations?user=LhYg8O8AAAAJ&hl=ko,Google Scholar
