name,author_id,snippet,link,source
Jeong-Kyu Kim - Google 학술 검색,0F4UkxgAAAAJ,Stanford University - ‪‪인용 횟수 397번‬‬ - ‪Electronic Devices‬ - ‪Wide Bandgap Semiconductors‬ - ‪GaN‬ - ‪Diamond‬,https://scholar.google.com/citations?user=0F4UkxgAAAAJ&hl=ko,Google Scholar
Dongjun Kim - Google 학술 검색,zOeuKDgAAAAJ,Dongjun Kim. Stanford University. stanford.edu의 이메일 확인됨 - 홈페이지 · Machine LearningArtificial Intelligence. 학술자료인용공개 액세스공동 저자 ...,https://scholar.google.com/citations?user=zOeuKDgAAAAJ&hl=ko,Google Scholar
Kim Stanford,YFg2-hgAAAAJ,Alberta Agriculture and Rural Development - ‪‪Cited by 9115‬‬ - ‪Microbiology‬ - ‪beef cattle‬,https://scholar.google.com/citations?user=YFg2-hgAAAAJ&hl=en,Google Scholar
Hyochang Kim - Google 학술 검색,NWRfC2IAAAAJ,"Hyochang Kim. 다른 이름 Hyo Chang Kim. Stanford Center at the Incheon Global Campus, Stanford University. stanford.edu의 이메일 확인됨. Human ...",https://scholar.google.com/citations?user=NWRfC2IAAAAJ&hl=ko,Google Scholar
Taikyu Kim - Google 학술 검색,MzHiI8IAAAAJ,Stanford University - ‪‪인용 횟수 888번‬‬ - ‪Oxide TFT‬ - ‪Semiconductor Device‬ - ‪Thin Film‬ - ‪Nano Electronics‬,https://scholar.google.com/citations?user=MzHiI8IAAAAJ&hl=ko,Google Scholar
Tony Hyun Kim,-F6TcdEAAAAJ,Tony Hyun Kim. Stanford University. Verified email at stanford.edu. Neuroscience. ArticlesCited byPublic access. Title. Sort. Sort by citationsSort ...,https://scholar.google.com/citations?user=-F6TcdEAAAAJ&hl=en,Google Scholar
Ji Hyeon Kim - Google 학술 검색,hLbSNqEAAAAJ,Ji Hyeon Kim. Stanford University. stanford.edu의 이메일 확인됨. Organic ChemistryChemical BiologyMedicinal Chemistry. 학술자료인용공개 액세스. 제목.,https://scholar.google.com/citations?user=hLbSNqEAAAAJ&hl=ko,Google Scholar
Kyun Kyu Kim,hX4shw4AAAAJ,Kyun Kyu Kim. Other names Kyun Kyu (Richard) Kim. Stanford University. Verified email at stanford.edu - Homepage · Wearable DeviceMachine Learning ...,https://scholar.google.com/citations?user=hX4shw4AAAAJ&hl=en,Google Scholar
Sungyoon Kim - Google 학술 검색,Pg1lhFMAAAAJ,Stanford EE Ph.D. student - ‪‪인용 횟수 31번‬‬ - ‪Optimization‬ - ‪Theory‬ - ‪Machine Learning‬,https://scholar.google.com/citations?user=Pg1lhFMAAAAJ&hl=ko,Google Scholar
Yong Min Kim - Google 학술 검색,MWKO27wAAAAJ,Yong Min Kim. Stanford University. stanford.edu의 이메일 확인됨. Polymer Chemistry. 학술자료인용. 제목. 정렬. 서지정보순 정렬연도순 정렬제목순 정렬.,https://scholar.google.com/citations?user=MWKO27wAAAAJ&hl=ko,Google Scholar
