name,author_id,snippet,link,source
Sungroh Yoon,Bphl_fIAAAAJ,"Professor, Electrical and Computer Engineering & Artificial Intelligence, Seoul National University - ‪‪Cited by 21678‬‬ - ‪AI‬ - ‪deep learning‬ ...",https://scholar.google.com/citations?user=Bphl_fIAAAAJ&hl=en,Google Scholar
Kyoung Mu Lee,xnOKRZ4AAAAJ,"Deep multi-scale convolutional neural network for dynamic scene deblurring. S Nah, T Hyun Kim, K Mu Lee. Proceedings of the IEEE Conference on Computer Vision ...",https://scholar.google.com/citations?user=xnOKRZ4AAAAJ&hl=en,Google Scholar
Bohyung Han,9aaeCToAAAAJ,"Professor, Electrical and Computer Engineering, Seoul National University - ‪‪Cited by 28821‬‬ - ‪Computer vision‬ - ‪machine learning‬ - ‪deep learning‬",https://scholar.google.com/citations?user=9aaeCToAAAAJ&hl=en,Google Scholar
Nojun Kwak,h_8-1M0AAAAJ,"Professor, Department of Intelligence and Information, Seoul National University. Verified email at snu.ac.kr - Homepage",https://scholar.google.com/citations?user=h_8-1M0AAAAJ&hl=en,Google Scholar
Hyunsoo Lee - Google 학술 검색,6JNXaH0AAAAJ,Seoul National University. snu.ac.kr의 이메일 확인됨 - 홈페이지 · Deep LearningComputer Vision. 학술자료인용. 제목. 정렬. 서지정보순 정렬연도순 정렬제목순 정렬.,https://scholar.google.com/citations?user=6JNXaH0AAAAJ&hl=ko,Google Scholar
Suyoung Lee - Google 학술 검색,s0uhy1gAAAAJ,Seoul National University - ‪‪인용 횟수 430번‬‬ - ‪Computer Vision‬ - ‪Deep Learning‬,https://scholar.google.com/citations?user=s0uhy1gAAAAJ&hl=ko,Google Scholar
Taesup Kim,7V7yNeoAAAAJ,"Assistant Professor, Seoul National University - ‪‪Cited by 4857‬‬ - ‪Representation Learning‬ - ‪Transfer Learning‬ - ‪AI‬ - ‪Machine Learning‬ - ‪Deep‬",https://scholar.google.com/citations?user=7V7yNeoAAAAJ&hl=en,Google Scholar
Jaewoo Park - Google 학술 검색,9sUcU40AAAAJ,Seoul National University - ‪‪인용 횟수 360번‬‬ - ‪Computer vision‬ - ‪Deep Learning‬ ... Seoul National Universitysnu.ac.kr의 이메일 확인됨. Sungroh Yoon ...,https://scholar.google.com/citations?user=9sUcU40AAAAJ&hl=ko,Google Scholar
Jayeon Yoo - Google 학술 검색,JAeV59wAAAAJ,Seoul National University - ‪‪인용 횟수 227번‬‬ - ‪Deep Learning‬ - ‪Computer Vision‬,https://scholar.google.com/citations?user=JAeV59wAAAAJ&hl=ko,Google Scholar
Jinyoung Choi,oTv2BygAAAAJ,Verified email at snu.ac.kr. Computer VisionDeep Learning. Articles ... Variable-Rate Deep Image Compression through Spatially-Adaptive Feature Transform.,https://scholar.google.com/citations?user=oTv2BygAAAAJ&hl=en,Google Scholar
