name,author_id,snippet,link,source
Woojin Cho - Google 학술 검색,cqIj5tQAAAAJ,Yonsei University - ‪‪인용 횟수 142번‬‬ - ‪Deep Learning‬ - ‪Machine Learning‬ - ‪SciML‬ ... yonsei.ac.kr의 이메일 확인됨 - 홈페이지 · Deep LearningMachine ...,https://scholar.google.com/citations?user=cqIj5tQAAAAJ&hl=ko,Google Scholar
Kyungwoo Song - Google 학술 검색,HWxRii4AAAAJ,Yonsei University - ‪‪인용 횟수 1115번‬‬ - ‪Machine Learning‬ - ‪Deep Learning‬ - ‪Neural Networks‬ ... Sungjun LimYonsei Universityyonsei.ac.kr의 이메일 확인됨.,https://scholar.google.com/citations?user=HWxRii4AAAAJ&hl=ko,Google Scholar
Jong Won Ma,yff3zh0AAAAJ,"Assistant Professor, Yonsei University - ‪‪Cited by 604‬‬ - ‪Scan-to-Building Information Model‬ - ‪Computer Vision‬ - ‪Deep Learning‬ - ‪Advanced Work‬ ...",https://scholar.google.com/citations?user=yff3zh0AAAAJ&hl=en,Google Scholar
Sung-Bae Cho - Google 학술 검색,px5LGgMAAAAJ,Yonsei University - ‪‪인용 횟수 22717번‬‬ - ‪Artificial Intelligence‬ ... Deep convolutional neural networks for human activity recognition with smartphone ...,https://scholar.google.com/citations?user=px5LGgMAAAAJ&hl=ko,Google Scholar
Dongyoung Kim - Google 학술 검색,grONfIQAAAAJ,Yonsei University - ‪‪인용 횟수 61번‬‬ - ‪Computational Photography‬ - ‪Deep Learning‬ - ‪Image Processing‬,https://scholar.google.com/citations?user=grONfIQAAAAJ&hl=ko,Google Scholar
Jaeuk Kim - Google 학술 검색,ksO1RDYAAAAJ,Yonsei University - ‪‪인용 횟수 62번‬‬ - ‪Adversarial Machine Learning‬ ... Analysis of Deep Learning Model Vulnerability According to Input Mutation. J ...,https://scholar.google.com/citations?user=ksO1RDYAAAAJ&hl=ko,Google Scholar
Changhyun Kim - Google 학술 검색,sHkr4OsAAAAJ,"Assistant Professor, Yonsei University - ‪‪인용 횟수 418번‬‬ - ‪Metasurfaces‬ - ‪Integrated Photonics‬ - ‪Quantum Optics‬ - ‪Computational Optics‬",https://scholar.google.com/citations?user=sHkr4OsAAAAJ&hl=ko,Google Scholar
Cho Dong Heon - Google 학술 검색,rOG2JuIAAAAJ,Yonsei University - ‪‪인용 횟수 27번‬‬ - ‪Deep Learning‬ ... yonsei.ac.kr의 이메일 확인됨 - 홈페이지 · Deep Learning. 학술자료인용. 제목. 정렬. 서지정보순 정렬 ...,https://scholar.google.com/citations?user=rOG2JuIAAAAJ&hl=ko,Google Scholar
Dosik Hwang,PciqeBcAAAAJ,"Professor, Yonsei University - ‪‪Cited by 3932‬‬ - ‪Medical Imaging‬ - ‪Artificial Intelligence‬ - ‪Deep Learning‬",https://scholar.google.com/citations?user=PciqeBcAAAAJ&hl=en,Google Scholar
Hae-Gon Jeon,Ei00xroAAAAJ,"School of Computing, Yonsei University - ‪‪Cited by 4141‬‬ - ‪Computer Vision‬ - ‪Computational Photography‬ - ‪AI for Social Good‬ - ‪Creative AI‬",https://scholar.google.com/citations?user=Ei00xroAAAAJ&hl=en,Google Scholar
Jianmin Wang,4ajuBSkAAAAJ,Yonsei University - ‪‪Cited by 1355‬‬ - ‪drug discovery‬ - ‪deep learning‬ - ‪chemoinformatics‬ - ‪artificial intelligence‬ - ‪bioinformatics‬,https://scholar.google.com/citations?user=4ajuBSkAAAAJ&hl=en,Google Scholar
Hyunsoo Yoon,IeUbp2QAAAAJ,"Associate Professor of Industrial Engineering, Yonsei University - ‪‪Cited by 1108‬‬ - ‪Machine Learning‬ - ‪Transfer Learning‬ - ‪Domain Adaptation‬ ...",https://scholar.google.com/citations?user=IeUbp2QAAAAJ&hl=en,Google Scholar
Sangyeob Kim - Google 학술 검색,Ahs1LtAAAAAJ,Yonsei University - ‪‪인용 횟수 1571번‬‬ - ‪Deep Learning Processor‬ - ‪Neuromorphic Computing‬ - ‪Processing-in-Memory‬,https://scholar.google.com/citations?user=Ahs1LtAAAAAJ&hl=ko,Google Scholar
"Juhyeon Kim, Ph.D. - Google 학술 검색",igUpCwEAAAAJ,"Advanced 3D Reconstruction with Deep Learning-Based Point Cloud Analysis for Enhanced Monitoring in Construction. J Kim. Yonsei University, South Korea, 2024.",https://scholar.google.com/citations?user=igUpCwEAAAAJ&hl=ko,Google Scholar
Jina Lee - Google 학술 검색,6BPOQMsAAAAJ,Yonsei University. yonsei.ac.kr의 이메일 확인됨. 학술자료인용공개 액세스. 제목. 정렬. 서지정보순 정렬연도순 정렬제목순 정렬. 인용. 인용. 연도 · Deep learning- ...,https://scholar.google.com/citations?user=6BPOQMsAAAAJ&hl=ko,Google Scholar
Ha Young Kim - Google 학술 검색,yVyL99IAAAAJ,"Yonsei University, Graduate School ... Estimating compressive strength of concrete using deep convolutional neural networks with digital microscope images.",https://scholar.google.com/citations?user=yVyL99IAAAAJ&hl=ko,Google Scholar
Yejee Shin - Google 학술 검색,381CyPkAAAAJ,Ph.D student at Yonsei University - ‪‪인용 횟수 162번‬‬,https://scholar.google.com/citations?user=381CyPkAAAAJ&hl=ko,Google Scholar
Keeheon Lee,DM09eoQAAAAJ,"Director, Yonsei {UIC HASS, Future AI Research Center, Human and AI Research Lab}. Verified email at yonsei.ac.kr - Homepage.",https://scholar.google.com/citations?user=DM09eoQAAAAJ&hl=en,Google Scholar
Hyeongjun Kwon - Google 학술 검색,Gvu1UgcAAAAJ,Yonsei University - ‪‪인용 횟수 197번‬‬ - ‪Computer Science‬ - ‪Deep Learning‬,https://scholar.google.com/citations?user=Gvu1UgcAAAAJ&hl=ko,Google Scholar
Suhan Woo - Google 학술 검색,4hf--K4AAAAJ,Yonsei University - ‪‪인용 횟수 44번‬‬ - ‪Computer Vision‬ - ‪Deep Learning‬ ... yonsei.ac.kr의 이메일 확인됨. Computer VisionDeep Learning. 학술자료인용공개 ...,https://scholar.google.com/citations?user=4hf--K4AAAAJ&hl=ko,Google Scholar
Seon Joo Kim,1F2czKYAAAAJ,"Dept. of Computer Science, Yonsei University, Seoul, Korea - ‪‪Cited by 8775‬‬ - ‪Computer Vision‬ - ‪Computational Photography‬ - ‪Deep Learning‬",https://scholar.google.com/citations?user=1F2czKYAAAAJ&hl=en,Google Scholar
Hyun Cheol Cho,rueoqwsAAAAJ,"Department of Computational Science and Engineering, Yonsei University - ‪‪인용 횟수 361번‬‬ - ‪Deep learning‬ - ‪Computer vision‬ - ‪Medical image analysis‬",https://scholar.google.com/citations?user=rueoqwsAAAAJ&hl=ko,Google Scholar
Myounghoe Kim - Google 학술 검색,MaNRsFEAAAAJ,Yonsei University - ‪‪인용 횟수 114번‬‬ - ‪Autonomous vehicles‬ - ‪reinforcement learning‬ - ‪optimal control‬ - ‪deep learning‬ ... yonsei.ac.kr의 이메일 ...,https://scholar.google.com/citations?user=MaNRsFEAAAAJ&hl=ko,Google Scholar
Sanghoon Lee - Google 학술 검색,W1Qo1OUAAAAJ,"Professor, Yonsei University - ‪‪인용 횟수 8401번‬‬ - ‪Non-rigid 3D reconstruction‬ - ‪Computer graphics‬ - ‪Perceptual QoE assessment‬ - ‪VR/AR sickness‬ ...",https://scholar.google.com/citations?user=W1Qo1OUAAAAJ&hl=ko,Google Scholar
Seoung Wug Oh - Google 학술 검색,BWME3BoAAAAJ,Yonsei University - ‪‪인용 횟수 4982번‬‬ - ‪Computer Vision‬ - ‪Computational Photography‬ - ‪Deep Learning‬,https://scholar.google.com/citations?user=BWME3BoAAAAJ&hl=ko,Google Scholar
Jinwoo Kim - Google 학술 검색,RixLNy8AAAAJ,Yonsei University - ‪‪인용 횟수 434번‬‬ - ‪Deep learning‬ - ‪Low-level image processing‬ - ‪Image/Video quality assessment‬,https://scholar.google.com/citations?user=RixLNy8AAAAJ&hl=ko,Google Scholar
Minsu Kim - Google 학술 검색,nBSnn5gAAAAJ,"Electrical and Electronics Engineering, Yonsei University, South Korea - ‪‪인용 횟수 273번‬‬ - ‪Image processing‬ - ‪Deep Learning‬",https://scholar.google.com/citations?user=nBSnn5gAAAAJ&hl=ko,Google Scholar
Yohan Kim - Google 학술 검색,xcfM1IEAAAAJ,"공동 저자 ; Deep learning-based question answering system for proactive disaster management. Y Kim, J Sohn, S Bang, H Kim.",https://scholar.google.com/citations?user=xcfM1IEAAAAJ&hl=ko,Google Scholar
