row_index,author_id,name,home_link,total_cost_usd,usage
1,uvicO-AAAAAJ,Kyobum Kim,http://kkim2014.wix.com/tissueeng,0.0002464,"""CompletionUsage(completion_tokens=30, prompt_tokens=1277, total_tokens=1307, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=1277, image_tokens=0), num_sources_used=0)"""
5,g5768LUAAAAJ,Janghee Cho,https://www.jangheecho.com/,0.0009965,"""CompletionUsage(completion_tokens=353, prompt_tokens=4220, total_tokens=4573, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=4220, image_tokens=0), num_sources_used=0)"""
12,iPSHyTYAAAAJ,Junsu Kim,http://junsukim.blogspot.kr/,0.0019425,"""CompletionUsage(completion_tokens=369, prompt_tokens=8910, total_tokens=9279, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=8910, image_tokens=0), num_sources_used=0)"""
13,GwF6FmQAAAAJ,Hyeonjeong Shin,https://hyeonjeong1.notion.site/Hyeonjeong-Shin-36a8827d5e804c388ce0be8afb9fd182,0.0012082,"""CompletionUsage(completion_tokens=244, prompt_tokens=5551, total_tokens=5795, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=5551, image_tokens=0), num_sources_used=0)"""
14,mjwO4sUAAAAJ,Munho Kim,https://ntunedl.weebly.com/,0.000301,"""CompletionUsage(completion_tokens=44, prompt_tokens=1515, total_tokens=1559, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=1515, image_tokens=0), num_sources_used=0)"""
31,ZzuEj8cAAAAJ,Changmin Kim,https://sites.google.com/view/cklab/,0.0009359,"""CompletionUsage(completion_tokens=53, prompt_tokens=4667, total_tokens=4720, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=4667, image_tokens=0), num_sources_used=0)"""
46,TDEl5F0AAAAJ,Sang Whan Han,http://earthquake.hanyang.ac.kr/,0.0005003500000000001,"""CompletionUsage(completion_tokens=44, prompt_tokens=3057, total_tokens=3101, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=3057, image_tokens=0), num_sources_used=0)"""
54,G01350MAAAAJ,Rohan Choudhury,https://rccchoudhury.github.io/,0.0007557000000000001,"""CompletionUsage(completion_tokens=425, prompt_tokens=2836, total_tokens=3261, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=2836, image_tokens=0), num_sources_used=0)"""
55,dnoWW6gAAAAJ,Hyejeong Seong,https://sites.google.com/view/kist-bsi-bms-hseong,0.0010485,"""CompletionUsage(completion_tokens=51, prompt_tokens=5235, total_tokens=5286, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=5235, image_tokens=0), num_sources_used=0)"""
57,D81Dux4AAAAJ,Min-cheol Kim,https://sites.google.com/view/pnu-aned,0.0023607000000000003,"""CompletionUsage(completion_tokens=57, prompt_tokens=11781, total_tokens=11838, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=11781, image_tokens=0), num_sources_used=0)"""
