detail_path,university
/professor/8173/info/,"한양대학교(에리카)
            나노광전자학과"
/professor/9230/info/,"고려대학교
            인공지능학과"
/professor/10304/info/,"GIST
            환경·에너지공학과"
/professor/7675/info/,"중앙대학교
            융합공학부"
/professor/10435/info/,"한국기계연구원
            자율제조연구소"
/professor/9745/info/,"한국에너지기술연구원
            광주 친환경에너지연구센터"
/professor/10616/info/,"부산대학교
            정보컴퓨터공학부"
/professor/10652/info/,"Nanyang Technological University
            School of Civil and Environmental Engineering"
/professor/10126/info/,"성균관대학교
            생명물리학과"
/professor/10627/info/,"Nanyang Technological University
            College of Computing and Data Science"
/professor/10314/info/,"가천대학교
            기초의학"
/professor/5724/info/,"성균관대학교(자연과학)
            화학공학부"
/professor/9479/info/,"광운대학교
            전자공학과"
/professor/10621/info/,"한양대학교
            생명과학과"
/professor/10538/info/,"경북대학교
            의생명융합공학과"
/professor/10613/info/,"성균관대학교(자연과학)
            화학과"
/professor/9547/info/,"UST
            생명정보학과"
/professor/3700/info/,"POSTECH
            화학공학과"
/professor/10531/info/,"University of Texas at Arlington
            Department of Computer Science and Engineering"
/professor/10387/info/,"경북대학교
            전자공학부"
/professor/10298/info/,"고려대학교
            지구환경과학과"
/professor/10209/info/,"연세대학교
            디스플레이융합공학과"
/professor/10210/info/,"성균관대학교(자연과학)
            에너지과학과"
/professor/10612/info/,"성균관대학교
            디지털헬스학과"
/professor/9846/info/,"한국전자통신연구원
            통신미디어연구소"
/professor/2547/info/,"고려대학교
            기계공학부"
/professor/8870/info/,"인하대학교
            컴퓨터공학과"
/professor/9641/info/,"경희대학교
            의학과"
/professor/10651/info/,"가천대학교
            약학과"
/professor/10563/info/,"POSTECH
            화학과"
/professor/10647/info/,"한국과학기술연구원
            에너지저장연구센터"
/professor/9616/info/,"경희대학교
            의학과"
/professor/10197/info/,"경희대학교(국제)
            동서의학대학원"
/professor/10634/info/,"University of Cincinnati
            Department of Electrical Engineering and Computer Science"
/professor/10462/info/,"전북대학교
            기계설계공학부"
/professor/10343/info/,"부산대학교
            생물교육과"
/professor/10385/info/,"POSTECH
            화학공학과"
/professor/9590/info/,"KAIST
            건설및환경공학과"
/professor/8683/info/,"성균관대학교(자연과학)
            에너지과학과"
/professor/10157/info/,"서울과학기술대학교
            미래에너지융합학과"
/professor/10447/info/,"성균관대학교(자연과학)
            기초의학교실"
/professor/3717/info/,"UNIST
            에너지화학공학과"
/professor/7860/info/,"서울대학교
            간호학과"
/professor/10212/info/,"한국과학기술연구원
            양자기술연구단"
/professor/6774/info/,"고려대학교
            생명과학부"
/professor/10081/info/,"충북대학교
            수의학과"
/professor/7062/info/,"UNIST
            기계공학과"
/professor/9267/info/,"한국생산기술연구원
            청정기술연구소"
/professor/10649/info/,"가천대학교
            약학과"
/professor/10650/info/,"가천대학교
            약학과"
/professor/9765/info/,"한국재료연구원
            기능복합재료연구실"
/professor/10001/info/,"가천대학교
            약학과"
/professor/10547/info/,"한국과학기술연구원
            나노포토닉스연구센터"
/professor/10590/info/,"성균관대학교
            미래에너지공학과"
/professor/10646/info/,"경희대학교
            기초교실"
/professor/10057/info/,"충북대학교
            제약학과"
/professor/3304/info/,"POSTECH
            화학과"
/professor/8487/info/,"가톨릭대학교
            기초의학교실"
/professor/10428/info/,"한국재료연구원
            금속재료연구본부"
/professor/6608/info/,"서울대학교
            전기·정보공학부"
/professor/10327/info/,"국립암센터 국제암대학원대학교
            보건AI학과"
/professor/10319/info/,"부경대학교
            컴퓨터·인공지능공학부"
/professor/10148/info/,"경상국립대학교
            산업시스템공학부"
/professor/9942/info/,"한국생산기술연구원
            제조AI연구센터"
/professor/10388/info/,"DGIST
            전기전자컴퓨터공학과"
/professor/9723/info/,"성균관대학교(자연과학)
            화학공학부"
/professor/9453/info/,"서강대학교
            전자공학과"
/professor/8770/info/,"KAIST
            전산학부"
/professor/10489/info/,"성균관대학교(자연과학)
            에너지과학과"
/professor/10068/info/,"고려대학교
            인공지능학과"
/professor/10525/info/,"Indiana University Bloomington
            Department of Computer Science"
/professor/8776/info/,"서울대학교
            융합과학기술대학원"
/professor/10629/info/,"National University of Singapore
            Department of Biomedical Engineering"
/professor/8285/info/,"경북대학교
            의생명융합공학과"
/professor/10586/info/,"중앙대학교
            첨단영상대학원"
/professor/7232/info/,"중앙대학교
            기계공학부"
/professor/10099/info/,"덕성여자대학교
            약학과"
/professor/10158/info/,"POSTECH
            환경공학부"
/professor/9608/info/,"아주대학교
            의학과"
/professor/9921/info/,"전북대학교
            인수공통전염병연구소"
/professor/9969/info/,"가톨릭대학교
            기초의학교실"
/professor/10443/info/,"한국표준과학연구원
            물리측정본부"
/professor/10644/info/,"부경대학교
            의공학과"
/professor/7543/info/,"서울대학교
            첨단융합학부"
/professor/10645/info/,"UNIST
            전기전자공학과"
/professor/9413/info/,"한국과학기술연구원
            휴머노이드연구단"
/professor/9966/info/,"GIST
            환경·에너지공학과"
/professor/10623/info/,"경북대학교
            기초교실"
/professor/10637/info/,"경북대학교
            전자공학부"
/professor/10639/info/,"National University of Singapore
            Department of Mechanical Engineering"
/professor/10642/info/,"경희대학교(국제)
            기계공학과"
/professor/8199/info/,"Florida State University
            Department of Educational Psychology and Learning Systems"
/professor/10261/info/,"한국화학연구원
            고기능고분자연구센터"
/professor/10643/info/,"North Carolina State University
            Department of Mechanical and Aerospace Engineering"
/professor/9463/info/,"한국과학기술연구원
            스핀융합연구단"
/professor/10219/info/,"경상국립대학교
            항공우주공학부"
/professor/10186/info/,"The Pennsylvania State University
            College of Information Sciences and Technology"
/professor/10636/info/,"한국해양대학교
            전자전기정보공학부"
/professor/9359/info/,"중앙대학교
            메타버스융합학과"
/professor/10595/info/,"UNIST
            기계공학과"
/professor/9855/info/,"동국대학교
            약학과"
/professor/10496/info/,"한양대학교
            산업융합학부"
/professor/8178/info/,"단국대학교(천안)
            생명과학부 미생물학과"
/professor/9200/info/,"국민대학교
            융합바이오공학과"
/professor/10635/info/,"한국해양대학교
            전자전기정보공학부"
/professor/10206/info/,"국민대학교
            융합바이오공학과"
/professor/7491/info/,"성균관대학교(자연과학)
            생명과학과"
/professor/10290/info/,"성균관대학교(자연과학)
            메타바이오헬스학과"
/professor/9549/info/,"가천대학교
            약학과"
/professor/10133/info/,"GIST
            AI융합학과"
/professor/10130/info/,"가톨릭대학교
            기초의학교실"
/professor/9555/info/,"중앙대학교
            메타버스융합학과"
/professor/10633/info/,"부산대학교
            나노에너지공학과"
/professor/10279/info/,"한국전자통신연구원
            인공지능창의연구소"
/professor/9342/info/,"연세대학교
            임상의학교실"
/professor/10311/info/,"경북대학교
            지구시스템과학부 천문대기과학전공"
/professor/10231/info/,"동국대학교
            화공생물공학과"
/professor/10464/info/,"성균관대학교
            미래에너지공학과"
/professor/9530/info/,"광운대학교
            컴퓨터정보공학부"
/professor/10042/info/,"이화여자대학교
            기후에너지시스템공학과"
/professor/10631/info/,"한국에너지공과대학교
            에너지공학부"
/professor/10632/info/,"한국외국어대학교
            Social Science & AI 융합학부"
/professor/9863/info/,"한국세라믹기술원
            엔지니어링세라믹센터"
/professor/341/info/,"KAIST
            신소재공학과"
/professor/9503/info/,"울산대학교
            의공학교실"
/professor/10622/info/,"한양대학교
            에너지공학과"
/professor/10630/info/,"한국에너지공과대학교
            에너지공학부"
/professor/8891/info/,"University of Colorado Denver
            Department of Chemistry"
/professor/9891/info/,"서울대학교병원
            융합의학과"
/professor/10516/info/,"연세대학교
            디스플레이융합공학과"
/professor/10391/info/,"경북대학교
            전자공학부"
/professor/9276/info/,"고려대학교
            바이오의공학부"
/professor/9083/info/,"서울대학교
            첨단융합학부"
/professor/10628/info/,"전남대학교
            환경에너지공학과"
/professor/9927/info/,"한국과학기술연구원
            생체재료연구센터"
/professor/10625/info/,"경북대학교
            임상교실"
/professor/10127/info/,"UNIST
            물리학과"
/professor/7589/info/,"중앙대학교
            사회기반시스템공학부"
/professor/9940/info/,"인하대학교
            물리학과"
/professor/9770/info/,"기초과학연구원
            수리 및 계산 과학 연구단"
/professor/10221/info/,"UNIST
            반도체 소재·부품 대학원"
/professor/10638/info/,"경북대학교
            전자공학부"
/professor/10500/info/,"단국대학교(천안)
            신소재공학과"
/professor/10640/info/,"경희대학교(국제)
            기계공학과"
/professor/8343/info/,"가톨릭대학교(성심)
            물리학과"
/professor/10624/info/,"경북대학교
            기초교실"
/professor/10201/info/,"한양대학교
            생명과학과"
/professor/10166/info/,"연세대학교
            기초의학교실"
/professor/10620/info/,"경희대학교(국제)
            산업경영공학과"
/professor/9907/info/,"경희대학교
            정보디스플레이학과"
/professor/10335/info/,"서울대학교
            임상교실"
/professor/7121/info/,"성균관대학교(자연과학)
            약학과"
/professor/9274/info/,"경기대학교
            생명과학과"
/professor/10615/info/,"가천대학교
            기초의학"
/professor/9522/info/,"성균관대학교(자연과학)
            양자정보공학과"
/professor/10132/info/,"DGIST
            전기전자컴퓨터공학과"
/professor/10591/info/,"경북대학교
            전자공학부"
/professor/8387/info/,"아주대학교
            건설시스템공학과"
/professor/4616/info/,"부산대학교
            정보컴퓨터공학부"
/professor/9987/info/,"이화여자대학교
            약학과"
/professor/10617/info/,"부산대학교
            정보컴퓨터공학부"
/professor/10556/info/,"한국생명공학연구원
            바이오나노연구센터"
/professor/2288/info/,"연세대학교
            컴퓨터과학과"
/professor/10047/info/,"한양대학교
            데이터사이언스학과"
/professor/9529/info/,"한성대학교
            미래모빌리티학과"
/professor/7667/info/,"중앙대학교
            융합공학부"
/professor/10606/info/,"한국과학기술연구원
            양자기술연구단"
/professor/8992/info/,"한양대학교
            데이터사이언스학과"
/professor/10614/info/,"POSTECH
            화학공학과"
/professor/10611/info/,"국민대학교
            응용화학부"
/professor/9872/info/,"한국화학연구원
            바이러스진단팀"
/professor/10618/info/,"부산대학교
            정보컴퓨터공학부"
/professor/10608/info/,"전남대학교(여수)
            석유화학소재공학과"
/professor/9604/info/,"서울과학기술대학교
            바이오메디컬학과"
/professor/10511/info/,"한국에너지공과대학교
            에너지공학부"
/professor/10474/info/,"National University of Singapore
            Department of Chemistry"
/professor/10567/info/,"한국세라믹기술원
            수소디지털융복합센터"
/professor/10373/info/,"순천향대학교
            기초의학교실"
/professor/9964/info/,"가천대학교
            약학과"
/professor/10610/info/,"전남대학교(여수)
            석유화학소재공학과"
/professor/10580/info/,"성균관대학교(자연과학)
            기초의학교실"
/professor/10641/info/,"경희대학교(국제)
            기계공학과"
/professor/7652/info/,"중앙대학교
            에너지시스템공학부"
/professor/9851/info/,"한국세라믹기술원
            수소디지털융복합센터"
/professor/9935/info/,"경희대학교
            융합의과학과"
/professor/10376/info/,"중앙대학교
            AI학과"
/professor/7721/info/,"부산대학교
            정보컴퓨터공학부"
/professor/9511/info/,"성균관대학교
            생명물리학과"
/professor/10609/info/,"전남대학교(여수)
            석유화학소재공학과"
/professor/10007/info/,"건국대학교
            수의학과"
/professor/10064/info/,"한국에너지기술연구원
            연료전지연구실"
/professor/10220/info/,"Nanyang Technological University
            Department of Mechanical and Aerospace Engineering"
/professor/10460/info/,"한국과학기술연구원
            청정에너지연구센터"
/professor/7695/info/,"중앙대학교
            AI학과"
/professor/10146/info/,"중앙대학교
            물리학과"
/professor/9563/info/,"GIST
            반도체공학과"
/professor/6258/info/,"한양대학교
            신소재공학부"
/professor/10607/info/,"UNIST
            반도체 소재·부품 대학원"
/professor/10626/info/,"KAIST
            생명화학공학과"
/professor/10108/info/,"성균관대학교(자연과학)
            기초의학교실"
/professor/10603/info/,"Nanyang Technological University
            Department of Materials Science and Engineering"
/professor/10605/info/,"한국전자통신연구원
            인공지능창의연구소"
/professor/5746/info/,"성균관대학교(자연과학)
            신소재공학부"
/professor/10505/info/,"홍익대학교
            기계·시스템디자인공학과"
/professor/10604/info/,"중앙대학교
            소프트웨어학부"
/professor/10119/info/,"부경대학교
            제어계측공학과"
/professor/10129/info/,"Auburn University
            Department of Mechanical Engineering"
/professor/10150/info/,"전북대학교
            에너지-AI융합공학과"
/professor/10574/info/,"차의과학대학교
            생명과학부"
/professor/8571/info/,"경북대학교
            전자공학부"
/professor/9482/info/,"서울대학교
            영상의학과"
/professor/10557/info/,"Forschungszentrum Jülich (FZJ)
            Institute for a Sustainable Hydrogen Economy"
/professor/10541/info/,"Glasgow Caledonian University
            Department of Finance Accounting and Risk"
/professor/7080/info/,"국민대학교
            경영정보학부"
/professor/10098/info/,"한양대학교
            산업융합학부"
/professor/9643/info/,"가톨릭대학교
            기초의학교실"
/professor/10589/info/,"성균관대학교
            미래에너지공학과"
/professor/10601/info/,"한국화학연구원
            박막재료연구센터"
/professor/10602/info/,"한국화학연구원
            박막재료연구센터"
/professor/5334/info/,"고려대학교
            기계공학부"
/professor/10576/info/,"가천대학교
            기초의학"
/professor/9559/info/,"한국과학기술연구원
            생체재료연구센터"
/professor/10171/info/,"중앙대학교
            AI학과"
/professor/10648/info/,"한국과학기술연구원
            수소·연료전지연구단"
/professor/9734/info/,"한국과학기술연구원
            바이오닉스연구센터"
/professor/36/info/,"서울대학교
            건설환경공학부"
/professor/9409/info/,"숙명여자대학교
            소프트웨어학부"
/professor/10588/info/,"Queen's University
            Department of Electrical and Computer Engineering"
/professor/10600/info/,"Virginia Polytechnic Institute and State University
            Department of Aerospace and Ocean Engineering"
/professor/9983/info/,"한국과학기술연구원
            인공지능연구단"
/professor/10553/info/,"숙명여자대학교
            인공지능공학부"
/professor/7431/info/,"한양대학교
            화학과"
/professor/6411/info/,"서울대학교
            의과학과"
/professor/10599/info/,"한양대학교
            정보시스템학과"
/professor/9592/info/,"서울과학기술대학교
            인공지능응용학과"
/professor/8930/info/,"제주국제대학교
            항공경영학전공"
/professor/3819/info/,"UNIST
            물리학과"
/professor/10568/info/,"DGIST
            에너지공학과"
/professor/9174/info/,"가톨릭대학교
            기초의학교실"
/professor/805/info/,"POSTECH
            산업경영공학과"
/professor/1900/info/,"서울대학교
            융합과학기술대학원"
/professor/10539/info/,"연세대학교
            시스템반도체공학과"
/professor/10598/info/,"한양대학교(에리카)
            전자공학부"
/professor/9994/info/,"한국과학기술연구원
            생체분자인식연구센터"
/professor/10507/info/,"홍익대학교
            기계·시스템디자인공학과"
/professor/4415/info/,"건국대학교
            기계로봇자동차공학부"
/professor/4070/info/,"고려대학교
            컴퓨터학과"
/professor/10535/info/,"가천대학교
            약학과"
/professor/10463/info/,"한국과학기술연구원
            인공뇌융합연구단"
/professor/1906/info/,"서울대학교
            융합과학기술대학원"
/professor/10596/info/,"UNIST
            기계공학과"
/professor/10227/info/,"서울대학교
            환경계획학과"
/professor/10592/info/,"서울대학교
            국제농업기술대학원"
/professor/9524/info/,"고려대학교
            기초교실"
/professor/3619/info/,"UNIST
            기계공학과"
/professor/10593/info/,"한국에너지공과대학교
            에너지공학부"
/professor/10594/info/,"한국에너지공과대학교
            에너지공학부"
/professor/10597/info/,"UNIST
            기계공학과"
/professor/10416/info/,"서울시립대학교
            첨단융합학부"
